Samples	SampleID	FieldID	samples	Location	LocationAb	LocationIDMERGE	LocationID	time	subject	Date_Taken	Sample_Type	Soil_Test_Number	PlantA_Or_B	Notes	GA_Microbiome	Living_Mulch	Endophyte	R1_Fastq_Name	R2_Fastq_Name	reads	Growing_Degree_Days	GPSlatitude	GPSlongitude	Living_Mulch_Treatment	Lime_Buffer_Capacity	pH	Water_pH	Base_Saturation_perc	Cation_Exchange_Capacity	Ca_ppm	Cd_ppm	Cr_ppm	Cu_ppm	Fe_ppm	K_ppm	Mg_ppm	Mn_ppm	Mo_ppm	Na_ppm	Ni_ppm	P_ppm	Pb_ppm	Zn_ppm	Organic_Matter_perc	N_perc	Plate	Row	Column	Well	quant_reading	Sample_or_Control	precipIntensity	precipProbability	temperatureHigh	temperatureLow	dewPoint	humidity	windSpeed	uvIndex
Sample11	GA18-11Rb-600-S216	GA18-11R	11	Fort_Valley	FV	GA18-11R_FV	GA18-11R_FV-p2	p2	S1	43227	Root	NA	b		TRUE	FALSE	FALSE	GA18-11Rb-600_S216_L001_R1_001.fastq.gz	GA18-11Rb-600_S216_L001_R2_001.fastq.gz	18783	600	32.501536	-83.9455	NA	235	5.66	6.26	81.4	5.37	665	0.05	0.1	0.26	15.61	136.2	80.4	14.5	0.02	7.04	0.69	65.89	0.31	4.39	2.11	0.11	6	C	1	C1	48.96666667	Sample	0.003677049	0.300327869	79.52704918	59.88245902	58.0042623	0.721967213	5.210655738	8.114754098
Sample12	GA18-11S-1400-S118	GA18-11S	12	Fort_Valley	FV	GA18-11S_FV		p1	S1	43258	Soil	84			TRUE	FALSE	FALSE	GA18-11S-1400_S118_L001_R1_001.fastq.gz	GA18-11S-1400_S118_L001_R2_001.fastq.gz	37642	1400	32.50154	-83.945516	NA	317	4.92	5.52	60.3	6.86	628	0.05	0.05	0.33	17.16	179.7	62.4	31.63	0.02	5.24	0.91	75.2	0.26	6.98	2.28	0.08	5	B	10	B10	115.3333333	Sample	0.003677049	0.300327869	79.52704918	59.88245902	58.0042623	0.721967213	5.210655738	8.114754098
Sample13	GA18-11Za-1400-S68	GA18-11Z	13	Fort_Valley	FV	GA18-11Z_FV	GA18-11Z_FV-p1	p1	S2	43258	Rhizosphere	NA	a		TRUE	FALSE	FALSE	GA18-11Za-1400_S68_L001_R1_001.fastq.gz	GA18-11Za-1400_S68_L001_R2_001.fastq.gz	90312	1400	32.50154	-83.945516	NA	317	4.92	5.52	60.3	6.86	628	0.05	0.05	0.33	17.16	179.7	62.4	31.63	0.02	5.24	0.91	75.2	0.26	6.98	2.28	0.08	4	F	8	F8	229	Sample	0.003677049	0.300327869	79.52704918	59.88245902	58.0042623	0.721967213	5.210655738	8.114754098
Sample14	GA18-11Za-600-S28	GA18-11Z	14	Fort_Valley	FV	GA18-11Z_FV	GA18-11Z_FV-p1	p1	S3	43227	Rhizosphere	NA	a		TRUE	FALSE	FALSE	GA18-11Za-600_S28_L001_R1_001.fastq.gz	GA18-11Za-600_S28_L001_R2_001.fastq.gz	110702	600	32.501536	-83.9455	NA	235	5.66	6.26	81.4	5.37	665	0.05	0.1	0.26	15.61	136.2	80.4	14.5	0.02	7.04	0.69	65.89	0.31	4.39	2.11	0.11	4	C	4	C4	323	Sample	0.003677049	0.300327869	79.52704918	59.88245902	58.0042623	0.721967213	5.210655738	8.114754098
Sample15	GA18-11Zb-1400-S8	GA18-11Z	15	Fort_Valley	FV	GA18-11Z_FV	GA18-11Z_FV-p2	p2	S3	43258	Rhizosphere	NA	b		TRUE	FALSE	FALSE	GA18-11Zb-1400_S8_L001_R1_001.fastq.gz	GA18-11Zb-1400_S8_L001_R2_001.fastq.gz	252828	1400	32.50154	-83.945516	NA	317	4.92	5.52	60.3	6.86	628	0.05	0.05	0.33	17.16	179.7	62.4	31.63	0.02	5.24	0.91	75.2	0.26	6.98	2.28	0.08	4	A	8	A8	90.7	Sample	0.003677049	0.300327869	79.52704918	59.88245902	58.0042623	0.721967213	5.210655738	8.114754098
Sample16	GA18-11Zb-600-S29	GA18-11Z	16	Fort_Valley	FV	GA18-11Z_FV	GA18-11Z_FV-p2	p2	S1	43227	Rhizosphere	NA	b		TRUE	FALSE	FALSE	GA18-11Zb-600_S29_L001_R1_001.fastq.gz	GA18-11Zb-600_S29_L001_R2_001.fastq.gz	60626	600	32.501536	-83.9455	NA	235	5.66	6.26	81.4	5.37	665	0.05	0.1	0.26	15.61	136.2	80.4	14.5	0.02	7.04	0.69	65.89	0.31	4.39	2.11	0.11	4	C	5	C5	509	Sample	0.003677049	0.300327869	79.52704918	59.88245902	58.0042623	0.721967213	5.210655738	8.114754098
Sample17	GA18-12Ra-1400-S225	GA18-12R	17	Plains_Production_corn	PPC	GA18-12R_PPC	GA18-12R_PPC-p1	p1	S2	43258	Root	NA	a		TRUE	FALSE	FALSE	GA18-12Ra-1400_S225_L001_R1_001.fastq.gz	GA18-12Ra-1400_S225_L001_R2_001.fastq.gz	17404	1400	32.035766	-84.375854	NA	334	5.2	5.8	63.6	6.39	490	0.05	0.07	0.46	15.4	171.2	134.5	82.4	0.025	11.74	0.025	80.1	0.82	3.45	2.57	0.06	6	C	10	C10	121	Sample	0.004391803	0.31295082	80.59114754	59.78934426	57.98409836	0.719508197	4.946393443	8.229508197
Sample18	GA18-12Ra-600-S192	GA18-12R	18	Plains_Production_corn	PPC	GA18-12R_PPC	GA18-12R_PPC-p1	p2	S2	43227	Root	NA	a		TRUE	FALSE	FALSE	GA18-12Ra-600_S192_L001_R1_001.fastq.gz	GA18-12Ra-600_S192_L001_R2_001.fastq.gz	10	600	32.035733	-84.375851	NA	280	5.94	6.54	85.9	5.31	558	0.02	0.09	0.35	10.2	105.6	175.8	14.5	0.02	9.59	2.45	48.26	0.29	2.64	2.48	0.09	6	A	1	A1	36.93333333	Sample	0.004391803	0.31295082	80.59114754	59.78934426	57.98409836	0.719508197	4.946393443	8.229508197
Sample19	GA18-12Za-1400-S12	GA18-12Z	19	Plains_Production_corn	PPC	GA18-12Z_PPC	GA18-12Z_PPC-p1	p1	S1	43258	Rhizosphere	NA	a		TRUE	FALSE	FALSE	GA18-12Za-1400_S12_L001_R1_001.fastq.gz	GA18-12Za-1400_S12_L001_R2_001.fastq.gz	51259	1400	32.035766	-84.375854	NA	334	5.2	5.8	63.6	6.39	490	0.05	0.07	0.46	15.4	171.2	134.5	82.4	0.025	11.74	0.025	80.1	0.82	3.45	2.57	0.06	4	A	12	A12	650	Sample	0.004391803	0.31295082	80.59114754	59.78934426	57.98409836	0.719508197	4.946393443	8.229508197
Sample20	GA18-12Za-600-S4	GA18-12Z	20	Plains_Production_corn	PPC	GA18-12Z_PPC	GA18-12Z_PPC-p1	p1	S2	43227	Rhizosphere	NA	a		TRUE	FALSE	FALSE	GA18-12Za-600_S4_L001_R1_001.fastq.gz	GA18-12Za-600_S4_L001_R2_001.fastq.gz	76293	600	32.035733	-84.375851	NA	280	5.94	6.54	85.9	5.31	558	0.02	0.09	0.35	10.2	105.6	175.8	14.5	0.02	9.59	2.45	48.26	0.29	2.64	2.48	0.09	4	A	4	A4	331.3333333	Sample	0.004391803	0.31295082	80.59114754	59.78934426	57.98409836	0.719508197	4.946393443	8.229508197
Sample21	GA18-12Zb-1400-S180	GA18-12Z	21	Plains_Production_corn	PPC	GA18-12Z_PPC	GA18-12Z_PPC-p2	p2	S3	43258	Rhizosphere	NA	b		TRUE	FALSE	FALSE	GA18-12Zb-1400_S180_L001_R1_001.fastq.gz	GA18-12Zb-1400_S180_L001_R2_001.fastq.gz	64746	1400	32.035766	-84.375854	NA	334	5.2	5.8	63.6	6.39	490	0.05	0.07	0.46	15.4	171.2	134.5	82.4	0.025	11.74	0.025	80.1	0.82	3.45	2.57	0.06	5	H	1	H1	102.0333333	Sample	0.004391803	0.31295082	80.59114754	59.78934426	57.98409836	0.719508197	4.946393443	8.229508197
Sample22	GA18-12Zb-600-S5	GA18-12Z	22	Plains_Production_corn	PPC	GA18-12Z_PPC	GA18-12Z_PPC-p2	p2	S3	43227	Rhizosphere	NA	b		TRUE	FALSE	FALSE	GA18-12Zb-600_S5_L001_R1_001.fastq.gz	GA18-12Zb-600_S5_L001_R2_001.fastq.gz	90549	600	32.035733	-84.375851	NA	280	5.94	6.54	85.9	5.31	558	0.02	0.09	0.35	10.2	105.6	175.8	14.5	0.02	9.59	2.45	48.26	0.29	2.64	2.48	0.09	4	A	5	A5	332.3333333	Sample	0.004391803	0.31295082	80.59114754	59.78934426	57.98409836	0.719508197	4.946393443	8.229508197
Sample23	GA18-13Ra-1400-S201	GA18-13R	23	Tennile	TEN	GA18-13R_TEN	GA18-13R_TEN-p1	p1	S3	43258	Root	NA	a		TRUE	FALSE	FALSE	GA18-13Ra-1400_S201_L001_R1_001.fastq.gz	GA18-13Ra-1400_S201_L001_R2_001.fastq.gz	20910	1400	32.892577	-82.764955	NA	218	6	6.6	90.6	5.23	717	0.02	0.02	0.78	10.61	154.9	84.6	9.1	0.02	12.64	1.74	35.2	1.17	1.75	1.44	0.07	6	A	10	A10	162.3333333	Sample	0.003480328	0.314262295	80.08606557	58.22377049	58.49868852	0.758196721	3.129836066	7.803278689
Sample24	GA18-13Ra-600-S252	GA18-13R	24	Tennile	TEN	GA18-13R_TEN	GA18-13R_TEN-p1	p1	S3	43227	Root	NA	a		TRUE	FALSE	FALSE	GA18-13Ra-600_S252_L001_R1_001.fastq.gz	GA18-13Ra-600_S252_L001_R2_001.fastq.gz	15936	600	32.892565	-82.765085	NA	201	6.52	7.12	100	4.91	804	0.02	0.07	0.88	10.19	122	79.6	9.5	0.02	9.14	1.42	40.93	0.98	2.2	1.4	0.07	6	G	1	G1	96.6	Sample	0.003480328	0.314262295	80.08606557	58.22377049	58.49868852	0.758196721	3.129836066	7.803278689
Sample25	GA18-13Rb-1400-S235	GA18-13R	25	Tennile	TEN	GA18-13R_TEN	GA18-13R_TEN-p2	p2	S3	43258	Root	NA	b		TRUE	FALSE	FALSE	GA18-13Rb-1400_S235_L001_R1_001.fastq.gz	GA18-13Rb-1400_S235_L001_R2_001.fastq.gz	25887	1400	32.892577	-82.764955	NA	218	6	6.6	90.6	5.23	717	0.02	0.02	0.78	10.61	154.9	84.6	9.1	0.02	12.64	1.74	35.2	1.17	1.75	1.44	0.07	6	D	8	D8	16.08524765	Sample	0.003480328	0.314262295	80.08606557	58.22377049	58.49868852	0.758196721	3.129836066	7.803278689
Sample26	GA18-13Rb-600-S223	GA18-13R	26	Tennile	TEN	GA18-13R_TEN	GA18-13R_TEN-p2	p2	S3	43227	Root	NA	b		TRUE	FALSE	FALSE	GA18-13Rb-600_S223_L001_R1_001.fastq.gz	GA18-13Rb-600_S223_L001_R2_001.fastq.gz	8042	600	32.892565	-82.765085	NA	201	6.52	7.12	100	4.91	804	0.02	0.07	0.88	10.19	122	79.6	9.5	0.02	9.14	1.42	40.93	0.98	2.2	1.4	0.07	6	C	8	C8	119.6666667	Sample	0.003480328	0.314262295	80.08606557	58.22377049	58.49868852	0.758196721	3.129836066	7.803278689
Sample27	GA18-13S-1400-S103	GA18-13S	27	Tennile	TEN	GA18-13S_TEN		p1	S1	43258	Soil	87			TRUE	FALSE	FALSE	GA18-13S-1400_S103_L001_R1_001.fastq.gz	GA18-13S-1400_S103_L001_R2_001.fastq.gz	32457	1400	32.892577	-82.764955	NA	218	6	6.6	90.6	5.23	717	0.02	0.02	0.78	10.61	154.9	84.6	9.1	0.02	12.64	1.74	35.2	1.17	1.75	1.44	0.07	5	A	7	A7	130.6666667	Sample	0.003480328	0.314262295	80.08606557	58.22377049	58.49868852	0.758196721	3.129836066	7.803278689
Sample28	GA18-13S-600-S138	GA18-13S	28	Tennile	TEN	GA18-13S_TEN		p2	S2	43227	Soil	21			TRUE	FALSE	FALSE	GA18-13S-600_S138_L001_R1_001.fastq.gz	GA18-13S-600_S138_L001_R2_001.fastq.gz	33230	600	32.892565	-82.765085	NA	201	6.52	7.12	100	4.91	804	0.02	0.07	0.88	10.19	122	79.6	9.5	0.02	9.14	1.42	40.93	0.98	2.2	1.4	0.07	5	D	7	D7	130	Sample	0.003480328	0.314262295	80.08606557	58.22377049	58.49868852	0.758196721	3.129836066	7.803278689
Sample29	GA18-13Za-1400-S84	GA18-13Z	29	Tennile	TEN	GA18-13Z_TEN	GA18-13Z_TEN-p1	p1	S3	43258	Rhizosphere	NA	a		TRUE	FALSE	FALSE	GA18-13Za-1400_S84_L001_R1_001.fastq.gz	GA18-13Za-1400_S84_L001_R2_001.fastq.gz	81318	1400	32.892577	-82.764955	NA	218	6	6.6	90.6	5.23	717	0.02	0.02	0.78	10.61	154.9	84.6	9.1	0.02	12.64	1.74	35.2	1.17	1.75	1.44	0.07	4	G	12	G12	470	Sample	0.003480328	0.314262295	80.08606557	58.22377049	58.49868852	0.758196721	3.129836066	7.803278689
Sample30	GA18-13Za-600-S40	GA18-13Z	30	Tennile	TEN	GA18-13Z_TEN	GA18-13Z_TEN-p1	p1	S3	43227	Rhizosphere	NA	a		TRUE	FALSE	FALSE	GA18-13Za-600_S40_L001_R1_001.fastq.gz	GA18-13Za-600_S40_L001_R2_001.fastq.gz	132906	600	32.892565	-82.765085	NA	201	6.52	7.12	100	4.91	804	0.02	0.07	0.88	10.19	122	79.6	9.5	0.02	9.14	1.42	40.93	0.98	2.2	1.4	0.07	4	D	4	D4	172.6666667	Sample	0.003480328	0.314262295	80.08606557	58.22377049	58.49868852	0.758196721	3.129836066	7.803278689
Sample31	GA18-13Zb-1400-S22	GA18-13Z	31	Tennile	TEN	GA18-13Z_TEN	GA18-13Z_TEN-p2	p2	S3	43258	Rhizosphere	NA	b		TRUE	FALSE	FALSE	GA18-13Zb-1400_S22_L001_R1_001.fastq.gz	GA18-13Zb-1400_S22_L001_R2_001.fastq.gz	60506	1400	32.892577	-82.764955	NA	218	6	6.6	90.6	5.23	717	0.02	0.02	0.78	10.61	154.9	84.6	9.1	0.02	12.64	1.74	35.2	1.17	1.75	1.44	0.07	4	B	10	B10	17.87601667	Sample	0.003480328	0.314262295	80.08606557	58.22377049	58.49868852	0.758196721	3.129836066	7.803278689
Sample32	GA18-13Zb-600-S94	GA18-13Z	32	Tennile	TEN	GA18-13Z_TEN	GA18-13Z_TEN-p2	p2	S3	43227	Rhizosphere	NA	b		TRUE	FALSE	FALSE	GA18-13Zb-600_S94_L001_R1_001.fastq.gz	GA18-13Zb-600_S94_L001_R2_001.fastq.gz	90790	600	32.892565	-82.765085	NA	201	6.52	7.12	100	4.91	804	0.02	0.07	0.88	10.19	122	79.6	9.5	0.02	9.14	1.42	40.93	0.98	2.2	1.4	0.07	4	H	10	H10	388	Sample	0.003480328	0.314262295	80.08606557	58.22377049	58.49868852	0.758196721	3.129836066	7.803278689
Sample33	GA18-14Ra-1400-S254	GA18-14R	33	Dawson	DAW	GA18-14R_DAW	GA18-14R_DAW-p1	p1	S4	43251	Root	NA	a		TRUE	FALSE	FALSE	GA18-14Ra-1400_S254_L001_R1_001.fastq.gz	GA18-14Ra-1400_S254_L001_R2_001.fastq.gz	11312	1400	31.666469	-84.521104	NA	171	5.11	5.71	63.7	3.13	302	0.02	0.02	0.49	9.86	58.9	32.9	20.95	0.02	13.75	0.23	51.1	0.35	1.4	0.75	0.01	6	G	3	G3	146.3333333	Sample	0.003861017	0.262881356	80.80271186	59.06169492	57.94830508	0.72779661	4.606779661	8.06779661
Sample34	GA18-14Ra-600-S62	GA18-14R	34	Dawson	DAW	GA18-14R_DAW	GA18-14R_DAW-p1	p1	S4	43222	Root	NA	a		TRUE	FALSE	FALSE	GA18-14Ra-600_S62_L001_R1_001.fastq.gz	GA18-14Ra-600_S62_L001_R2_001.fastq.gz	100762	600	31.66634	-84.520991	NA	267	4.94	5.54	49.5	4.47	290	0.02	0.08	1.41	25.18	126.4	46.1	19.5	0.02	12	1.05	100.39	0.82	12.57	0.89	0.01	4	F	2	F2	160	Sample	0.003861017	0.262881356	80.80271186	59.06169492	57.94830508	0.72779661	4.606779661	8.06779661
Sample35	GA18-14Rb-1400-S215	GA18-14R	35	Dawson	DAW	GA18-14R_DAW	GA18-14R_DAW-p2	p2	S4	43251	Root	NA	b		TRUE	FALSE	FALSE	GA18-14Rb-1400_S215_L001_R1_001.fastq.gz	GA18-14Rb-1400_S215_L001_R2_001.fastq.gz	22269	1400	31.666469	-84.521104	NA	171	5.11	5.71	63.7	3.13	302	0.02	0.02	0.49	9.86	58.9	32.9	20.95	0.02	13.75	0.23	51.1	0.35	1.4	0.75	0.01	6	B	12	B12	175.3333333	Sample	0.003861017	0.262881356	80.80271186	59.06169492	57.94830508	0.72779661	4.606779661	8.06779661
Sample36	GA18-14Rb-600-S39	GA18-14R	36	Dawson	DAW	GA18-14R_DAW	GA18-14R_DAW-p2	p2	S4	43222	Root	NA	b		TRUE	FALSE	FALSE	GA18-14Rb-600_S39_L001_R1_001.fastq.gz	GA18-14Rb-600_S39_L001_R2_001.fastq.gz	77607	600	31.66634	-84.520991	NA	267	4.94	5.54	49.5	4.47	290	0.02	0.08	1.41	25.18	126.4	46.1	19.5	0.02	12	1.05	100.39	0.82	12.57	0.89	0.01	4	D	3	D3	298	Sample	0.003861017	0.262881356	80.80271186	59.06169492	57.94830508	0.72779661	4.606779661	8.06779661
Sample37	GA18-14Za-1400-S18	GA18-14Z	37	Dawson	DAW	GA18-14Z_DAW	GA18-14Z_DAW-p1	p1	S30	43251	Rhizosphere	NA	a		TRUE	FALSE	FALSE	GA18-14Za-1400_S18_L001_R1_001.fastq.gz	GA18-14Za-1400_S18_L001_R2_001.fastq.gz	101579	1400	31.666469	-84.521104	NA	171	5.11	5.71	63.7	3.13	302	0.02	0.02	0.49	9.86	58.9	32.9	20.95	0.02	13.75	0.23	51.1	0.35	1.4	0.75	0.01	4	B	6	B6	159.6666667	Sample	0.003861017	0.262881356	80.80271186	59.06169492	57.94830508	0.72779661	4.606779661	8.06779661
Sample38	GA18-14Za-600-S183	GA18-14Z	38	Dawson	DAW	GA18-14Z_DAW	GA18-14Z_DAW-p1	p1	S4	43222	Rhizosphere	NA	a		TRUE	FALSE	FALSE	GA18-14Za-600_S183_L001_R1_001.fastq.gz	GA18-14Za-600_S183_L001_R2_001.fastq.gz	46280	600	31.66634	-84.520991	NA	267	4.94	5.54	49.5	4.47	290	0.02	0.08	1.41	25.18	126.4	46.1	19.5	0.02	12	1.05	100.39	0.82	12.57	0.89	0.01	5	H	4	H4	110.6666667	Sample	0.003861017	0.262881356	80.80271186	59.06169492	57.94830508	0.72779661	4.606779661	8.06779661
Sample39	GA18-14Zb-1400-S111	GA18-14Z	39	Dawson	DAW	GA18-14Z_DAW	GA18-14Z_DAW-p2	p2	S4	43251	Rhizosphere	NA	b		TRUE	FALSE	FALSE	GA18-14Zb-1400_S111_L001_R1_001.fastq.gz	GA18-14Zb-1400_S111_L001_R2_001.fastq.gz	47611	1400	31.666469	-84.521104	NA	171	5.11	5.71	63.7	3.13	302	0.02	0.02	0.49	9.86	58.9	32.9	20.95	0.02	13.75	0.23	51.1	0.35	1.4	0.75	0.01	5	B	3	B3	73.06666667	Sample	0.003861017	0.262881356	80.80271186	59.06169492	57.94830508	0.72779661	4.606779661	8.06779661
Sample40	GA18-14Zb-600-S172	GA18-14Z	40	Dawson	DAW	GA18-14Z_DAW	GA18-14Z_DAW-p2	p2	S4	43222	Rhizosphere	NA	b		TRUE	FALSE	FALSE	GA18-14Zb-600_S172_L001_R1_001.fastq.gz	GA18-14Zb-600_S172_L001_R2_001.fastq.gz	30674	600	31.66634	-84.520991	NA	267	4.94	5.54	49.5	4.47	290	0.02	0.08	1.41	25.18	126.4	46.1	19.5	0.02	12	1.05	100.39	0.82	12.57	0.89	0.01	5	G	5	G5	215.6666667	Sample	0.003861017	0.262881356	80.80271186	59.06169492	57.94830508	0.72779661	4.606779661	8.06779661
Sample41	GA18-15Ra-1400-S221	GA18-15R	41	Arlington	ARL	GA18-15R_ARL	GA18-15R_ARL-p1	p1	S5	43251	Root	NA	a		TRUE	FALSE	FALSE	GA18-15Ra-1400_S221_L001_R1_001.fastq.gz	GA18-15Ra-1400_S221_L001_R2_001.fastq.gz	31213	1400	31.420769	-84.672117	NA	170	5.5	6.1	76.8	3.38	446	0.02	0.02	0.84	5.99	59.6	23.8	15.29	0.02	4.46	0.5	15.4	0.19	1.84	1.06	0.03	6	C	6	C6	82.9	Sample	0.004491525	0.241016949	80.17237288	59.71355932	59.14	0.748813559	3.836101695	8.305084746
